GeneName	NV_controlLung86	NV_controlLung87	NV_controlLung88	NV_controlLung89	NV_fer1Lung2	NV_fer1Lung3	NV_fer1Lung4	NV_fer1Lung10	NV_vehLung1	NV_vehLung2	NV_vehLung3	NV_vehLung4
ENSRNOG00000039576	335	326	360	339	273	490	505	1643	521	490	277	483
Cspg4b	834	840	828	859	556	1009	865	2605	1090	713	552	652
ENSRNOG00000039587	1789	1536	1488	1588	1002	1891	2224	6035	2375	2145	1140	1617
Mcidas	3	5	3	4	10	11	17	31	7	23	5	3
Dydc2	53	72	49	94	51	86	100	332	77	146	45	48
Ecscr	873	772	869	850	652	1090	1243	3225	1424	1050	506	986
Prob1	52	52	52	64	29	46	71	261	64	129	39	48
ENSRNOG00000039601	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000039615	0	0	0	0	0	0	0	0	0	0	0	0
RGD1563356	0	0	0	0	0	0	0	0	0	0	0	0
AABR07059877.1	0	0	0	0	0	0	0	0	0	0	0	0
AABR07069490.1	1	0	2	1	3	6	3	15	5	6	2	1
Lnp1	5	3	3	6	1	2	0	5	0	0	1	1
Defb18	0	0	0	0	0	0	0	0	0	0	0	0
Defb49	0	0	0	0	0	0	0	0	0	0	0	0
Abca17	165	178	206	229	81	209	278	976	324	102	103	135
G4	449	489	412	425	268	529	705	1777	549	474	315	507
AABR07066946.1	0	0	0	0	0	0	0	0	0	0	0	0
Col8a1	134	126	103	121	265	396	550	1048	227	391	286	241
AABR07034657.1	40	38	25	22	19	46	37	121	43	36	10	33
ENSRNOG00000039678	0	0	0	0	0	0	0	0	0	0	0	0
Gpr15	9	5	7	13	3	8	18	31	4	19	5	5
Olr1550-ps	0	0	0	0	0	0	0	0	0	0	0	0
Prss22	52	18	92	59	17	38	22	95	66	101	49	111
Ces1a	0	0	0	4	0	0	1	0	0	6	0	0
Orai3	655	690	649	745	439	934	1104	3233	956	973	571	870
Cenpk	22	25	12	22	40	86	110	357	88	100	37	62
Zdhhc11	1	0	1	0	1	6	0	0	2	0	0	0
Pm20d1	71	71	84	65	67	118	117	395	92	130	69	88
1700024G13Rik	211	128	179	252	137	226	252	1054	219	606	159	140
Rab7b	194	231	222	156	182	556	632	1466	764	670	395	659
Gpr34	43	91	88	52	128	358	367	673	138	146	179	278
Olr1366	0	0	0	0	0	0	0	0	2	1	0	0
Gpr82	1	0	0	1	0	3	5	11	2	4	0	1
Olr1356	0	0	0	0	0	0	0	0	2	0	0	0
Exoc3	895	876	750	827	524	1069	1264	3400	1174	1014	704	860
Ttf1	661	579	587	677	366	760	863	2128	746	755	476	568
Msmb	0	0	0	0	0	0	0	0	0	0	0	0
Fam193b	1074	779	728	843	420	729	1106	2893	1304	903	558	936
Isx	0	0	0	0	0	0	0	0	0	0	0	0
Zfp512	770	876	789	757	495	833	1007	3377	961	732	522	761
AABR07035338.1	684	597	541	611	445	852	1156	2964	1051	1019	550	868
Rpp14	0	0	0	0	0	0	0	0	0	0	0	0
Gpr12	0	0	0	0	0	0	0	0	0	1	0	0
Jade3	220	308	269	225	147	201	302	978	261	252	153	212
Taf9	1078	934	918	909	603	1353	1499	4155	1553	1345	807	1230
Pigp	530	377	346	401	246	493	656	1629	584	529	307	381
Cactin	617	603	606	608	355	475	756	2066	794	664	389	681
Lrrc73	12	15	8	18	3	18	19	47	8	19	8	31
Mfsd12	404	402	375	337	316	548	839	1946	621	599	391	658
Dnmt1	1193	1500	1266	1275	983	1812	2249	6051	1641	1731	1197	1473
AC126960.1	1	0	0	0	0	1	1	2	12	2	1	0
ENSRNOG00000039861	15	2	8	11	10	8	12	26	15	15	0	21
Cldn12	595	567	451	508	297	548	738	2002	644	637	335	501
AC111647.1	0	0	0	0	0	0	0	0	0	0	0	0
Vnn3	45	87	88	110	70	162	186	527	120	264	64	104
Taar5	0	2	0	0	0	0	0	0	0	0	0	0
RGD1306063	353	381	304	341	223	548	655	1590	534	500	340	411
Hnrnpa0	530	513	482	423	228	264	780	1929	629	487	309	488
Smim11a	268	275	216	234	147	359	372	1081	349	358	159	270
Adgrg5	176	107	135	110	164	263	188	605	274	289	185	232
Lbh	737	677	789	688	537	1122	1246	3511	902	1018	581	1126
Abo3	0	0	0	0	0	0	0	0	0	0	0	0
Olr1132	0	0	0	0	0	0	0	0	0	0	0	0
Olr1129	0	0	0	0	0	0	0	0	0	0	0	0
Triqk	116	145	108	105	101	142	168	435	171	160	75	137
Rad54b	24	31	23	20	37	71	89	297	89	63	41	61
RGD1308751	0	0	0	0	0	0	0	0	0	0	0	0
Samd3	14	18	37	28	7	36	26	72	30	17	7	38
Dsc2	216	213	201	227	321	497	689	1242	529	482	328	520
Ctla2a	745	580	603	602	516	917	945	2467	1196	808	493	577
Tpbpa	0	0	0	0	0	0	0	1	1	6	0	0
Ptk7	1689	2225	1972	1961	1462	2564	3336	9452	2748	2498	1619	2597
Slc25a5	5505	5337	4894	4607	3185	6352	7839	20120	6830	6794	4063	5808
Ube2a	897	973	833	922	638	1153	1374	3833	1209	959	689	999
AABR07014177.1	3	2	4	3	2	7	4	11	3	3	0	3
MGC114246	0	0	0	0	0	0	0	0	0	0	0	0
Upf3b	639	541	499	496	343	701	848	2336	715	728	431	613
AABR07055527.1	6	2	1	9	5	12	7	26	15	8	4	9
Cts8	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000040007	0	0	0	0	0	0	0	0	0	0	0	0
RGD1560927	0	0	0	0	0	0	0	0	0	0	0	0
Rhox2	0	0	0	0	0	0	0	0	0	0	0	0
AABR07028805.1	0	0	7	0	1	3	7	20	4	4	7	3
Rhox10	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000040033	0	0	0	0	0	0	0	0	0	0	0	0
AABR07033607.1	0	0	0	0	0	0	0	0	0	0	0	0
Ndufaf6	76	70	79	81	50	112	107	425	147	64	74	112
Crnkl1	66	79	73	59	57	95	77	314	65	53	48	79
AABR07033590.1	0	0	0	0	0	0	0	0	0	0	0	0
RT1-M6-2	0	0	0	2	42	27	86	85	35	0	38	80
ENSRNOG00000040054	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000040057	0	0	0	0	0	0	0	0	0	0	0	0
Krtap20-1	0	0	0	0	0	0	0	0	0	0	0	0
Krtap22-2	0	0	0	0	0	0	0	0	0	0	0	0
Krtap16-5	0	0	0	0	0	0	0	0	0	0	0	0
Krtap19-5	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000040095	0	0	0	0	0	0	0	0	0	0	0	0
AABR07026805.2	5	2	3	6	2	7	5	21	4	5	3	6
Treml1	60	58	32	27	36	49	38	84	78	28	27	26
Foxn2	1290	1130	1156	1149	794	1597	2224	5237	1485	1491	878	1167
ENSRNOG00000040116	0	0	0	0	0	0	0	0	0	0	0	0
Bhmt2	0	0	1	0	0	5	0	8	4	1	0	0
RGD1565158	3	2	0	1	2	6	1	9	2	1	0	0
Myoz1	114	98	75	111	64	115	122	376	142	82	46	67
Cd209a	0	0	1	0	0	0	0	0	0	0	0	0
Stpg4	18	9	9	27	19	21	21	105	22	61	22	7
Sdr16c6	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd34b	0	0	1	0	0	0	0	0	0	0	0	0
Olr1684	0	0	0	0	0	0	0	0	0	0	0	0
Atp6ap1l	11	6	4	8	2	16	1	18	12	16	5	4
Zcchc24	1175	1014	1035	908	835	1757	2148	5026	1329	1527	703	1687
Mmp27	0	0	0	2	0	0	0	0	0	0	0	1
Vom2r69	0	0	0	0	0	0	0	0	0	0	0	0
AABR07046956.1	0	0	0	0	0	0	0	0	0	0	0	0
Epm2a	13	14	15	26	8	49	121	148	19	16	28	50
AC115420.1	0	0	0	0	0	0	0	0	0	0	0	0
Chmp2b	1871	2168	1801	1888	1191	2085	2906	7966	2440	1923	1375	1835
Cdkl4	143	170	144	159	107	208	184	832	174	391	141	127
RGD1562402	1	2	1	2	0	2	2	5	1	3	0	1
Tmem210	0	0	0	0	0	0	0	10	1	0	0	0
Slf1	318	372	294	250	207	414	473	1251	365	423	184	294
Zc3h10	16805	14381	12930	14050	10191	22617	23467	62114	22157	17082	12236	20231
Rnf224	0	0	0	0	0	0	0	1	0	0	0	0
Cyp1b1	297	191	188	256	158	285	456	851	560	920	223	303
Xkr9	0	1	0	1	0	2	0	2	0	0	0	0
Ttc37	949	921	965	850	658	1351	1582	3980	1097	1280	907	975
ENSRNOG00000040300	0	0	2	0	0	0	1	0	0	1	0	0
Galntl5	8	7	7	17	12	22	26	38	9	22	12	12
Nxph2	0	0	0	0	0	0	0	0	0	0	0	0
Mir671	0	0	0	0	0	0	0	0	0	0	0	0
Mir675	0	0	0	0	0	0	0	0	0	0	0	0
Mir667	0	0	0	0	0	0	0	0	0	0	0	0
Mir673	0	0	0	0	0	0	0	0	0	0	0	0
Mir665	0	0	0	0	0	0	0	0	0	0	0	0
Mir672	0	0	0	0	0	0	0	0	0	0	0	0
Mir666	0	0	0	0	0	0	0	0	0	0	0	0
Mir802	0	0	0	0	0	0	0	0	0	0	0	0
Mir759	0	0	0	0	0	0	0	0	0	0	0	0
Mir770	0	0	0	0	2	0	0	2	0	0	0	0
Mir760	0	0	0	0	0	0	0	0	0	0	0	0
Mir758	0	0	0	0	0	0	0	0	0	0	0	0
Mir762	0	0	0	0	0	0	0	0	0	0	0	0
Mir301b	0	0	0	0	0	0	0	0	0	0	0	0
Mir465	0	0	0	0	0	0	0	0	0	0	0	0
Mir496	0	0	0	0	0	0	0	0	0	0	0	0
Mir742	0	0	0	0	0	0	0	0	0	0	0	0
Mir761	0	0	0	0	0	0	0	0	0	0	0	0
Mir764	0	0	0	2	0	1	0	0	5	0	2	0
Mir674	0	1	0	0	0	0	0	0	0	0	0	0
Mir582	0	0	0	0	0	0	0	0	0	0	0	0
Mir708	0	0	0	0	0	0	0	0	0	0	0	0
Mir146b	0	0	0	0	0	0	1	5	2	5	0	0
Mir652	0	0	0	0	0	0	0	0	0	0	0	0
SNORD79	49	24	27	32	10	58	30	61	55	58	26	56
5S_rRNA	0	0	0	0	0	0	0	0	0	0	0	0
Mir878	0	0	0	0	0	0	0	0	0	0	0	0
Mir880	0	0	0	0	0	0	0	0	0	0	0	0
Mir872	0	0	0	0	0	2	0	0	0	0	0	0
Mir877	0	0	0	0	0	0	0	0	0	0	0	0
Mir743a	0	0	0	0	0	0	0	0	0	0	0	0
Mir190b	0	0	0	0	0	0	0	1	0	0	1	0
Mir743b	0	0	0	0	0	0	0	0	0	0	0	0
Mir883	0	0	0	0	0	0	0	0	0	0	0	0
Mir881	0	0	0	0	0	0	0	0	0	0	0	0
Mir874	0	0	0	0	0	0	0	0	0	0	0	0
Mir873	0	0	0	0	0	0	0	0	0	0	0	0
Mir511	0	0	0	0	0	0	0	0	0	0	0	0
Mir876	0	0	0	0	0	0	0	3	0	0	0	1
Mir879	0	0	0	0	0	0	0	0	0	0	0	0
Mir463	0	0	0	0	0	0	0	0	0	0	0	0
Mir871	0	0	0	0	0	0	0	0	0	0	0	0
Mir875	0	0	0	0	0	0	0	0	0	0	0	0
Mir208b	0	0	0	0	0	0	0	0	0	0	0	0
Gm22953	0	3	0	0	0	0	0	0	1	0	0	1
Mir1251	0	0	0	0	0	0	0	0	0	0	0	0
Mir1188	0	0	0	0	0	0	0	0	0	0	0	0
Mir1199	0	0	0	0	0	0	0	0	0	0	0	0
Mir1249	10	5	5	1	1	2	4	17	0	12	6	3
Mir1224	0	0	0	0	0	0	0	0	0	0	0	0
Mir1298	0	0	0	0	0	0	0	0	0	0	0	0
Mir1306	0	0	0	0	0	0	0	0	0	0	0	0
Mir1907	0	0	0	0	0	0	0	0	0	0	0	0
Mir1903	0	0	0	0	0	0	0	0	0	0	0	0
Mir1895	0	0	0	0	0	0	1	0	0	0	0	0
Mir1893	0	0	0	0	0	0	0	0	0	0	0	0
RGD1306750	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc37a	15	40	14	15	11	37	21	116	21	71	13	7
AABR07026929.1	2	5	3	4	0	7	0	10	1	4	3	1
Efs	246	199	198	216	107	227	333	754	257	310	118	213
Nlrp4a	0	0	0	0	0	0	0	0	0	0	0	0
AC134160.1	0	0	0	0	0	0	0	0	0	0	0	0
AABR07066994.1	0	0	0	0	0	0	0	0	0	0	0	0
AABR07028185.1	0	0	0	0	0	0	0	0	0	0	0	0
Smim7	1216	1182	1067	1220	720	1459	1853	4938	1742	1476	892	1388
Gal3st1	70	104	62	99	39	49	88	307	84	54	73	60
Stard3	1768	1867	1598	1771	1218	2001	2849	7919	2452	2009	1600	2001
AABR07049648.1	0	0	0	0	0	0	0	0	0	0	0	0
RGD1565959	0	0	0	0	0	0	0	0	0	0	0	0
Syce3	8	6	9	9	1	2	5	28	1	12	6	11
Rccd1	73	54	63	50	26	68	77	289	94	80	54	75
AABR07071500.1	0	0	0	0	0	0	1	0	0	0	0	0
Iqcf6	0	0	0	0	0	0	0	0	0	0	0	0
Otud7b	1168	1378	1378	1264	923	1326	1724	4964	1130	1311	834	1027
Ticam2	132	167	115	135	98	194	273	620	135	194	159	163
Icam4	15	27	16	24	10	19	31	87	31	27	15	15
Il31ra	4	4	13	2	8	8	6	9	3	12	3	6
Acsm1	74	81	72	91	74	63	35	370	35	353	61	43
Rab26	56	66	47	49	25	63	80	246	78	64	41	59
Vom1r107	0	0	0	0	0	0	0	0	0	0	0	0
Prr13	2449	2530	2456	2544	1713	3874	4024	10270	3762	2995	2738	2879
AABR07017902.2	0	0	0	0	0	0	0	0	0	0	0	0
Lce1l	0	0	0	0	0	0	0	0	0	0	0	0
Sult1c2a	7	1	17	3	7	13	7	18	4	17	11	10
Trbv16	2	1	2	1	3	5	1	7	5	14	2	2
Erich1	284	300	269	277	164	327	421	1059	370	345	204	306
Cplane1	313	217	212	263	179	353	371	1220	389	408	186	244
ENSRNOG00000042120	0	0	0	0	0	0	3	0	0	0	0	0
Lsm5	300	280	253	250	163	412	439	1191	353	371	217	355
AABR07006275.1	25	41	43	46	42	59	81	250	37	87	41	51
Sting1	407	359	357	378	276	696	787	1675	713	690	462	645
Clec4a1	213	201	264	235	170	708	632	1492	436	543	359	597
Eomes	53	50	80	51	26	130	77	167	69	33	43	74
Gipc2	718	995	917	970	533	1061	1275	3645	1424	917	562	783
AABR07017874.1	2	2	0	0	0	0	0	5	0	3	0	0
Ceacam12	0	0	0	0	0	0	0	0	0	0	0	0
Wfdc3	4	0	1	2	2	1	0	6	0	1	2	2
Btbd19	240	253	239	278	151	323	408	1126	438	327	228	305
Prb3	0	0	0	0	0	0	0	0	0	0	0	0
Colca2	56	77	75	70	31	63	53	280	70	81	40	49
Cfap20	1039	959	853	938	499	1004	1245	3805	1334	1143	647	855
Dytn	0	0	0	0	0	0	0	0	0	0	0	0
Mroh2a	29	25	28	10	21	38	55	124	60	62	39	48
Mln	0	0	0	0	0	0	0	0	0	0	0	0
Rab31	2192	2088	1887	1626	1580	3148	3788	9430	3268	3146	1958	2633
AABR07034729.1	130	17	1	6	43	124	29	302	34	152	61	66
Pabpn1	2271	1575	1721	1851	1060	1977	2493	7238	2933	2371	1320	1966
Efcab2	120	90	82	99	71	132	134	449	114	128	57	64
ENSRNOG00000042206	0	0	0	1	0	0	0	0	0	0	0	0
Zscan25	267	236	289	256	191	350	441	1179	415	414	220	317
Vsx1	2	2	1	1	1	2	1	6	2	22	0	0
RGD1563562	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2j10	59	72	74	66	40	110	151	232	130	114	60	68
Gimap1	309	298	301	309	124	226	367	840	382	179	174	266
RGD1307182	54	47	21	30	42	117	99	181	163	132	122	102
RGD1559600	2	2	0	1	0	2	0	1	1	1	0	0
Tm6sf2	30	52	29	49	28	76	62	186	69	59	32	24
Dcaf7	2214	2355	2119	1985	1558	2753	3624	9024	2698	2574	1908	2535
Tmem215	6	0	1	3	4	11	5	4	7	6	1	2
Olr620-ps	0	0	0	0	0	0	0	0	0	0	0	0
AABR07030771.1	94	54	79	38	69	123	263	378	96	61	132	66
AC106648.1	3	0	0	1	1	0	2	5	2	0	0	1
Ecd	460	402	384	407	256	446	574	1656	419	500	347	440
Efcab3	11	15	13	5	9	10	13	53	14	6	7	8
RGD1561157	423	410	387	435	250	494	524	1630	521	503	267	399
Slc22a14	1	0	0	0	1	0	2	8	0	0	1	0
Hdgf	3146	3759	3339	3508	2043	3926	4580	14726	4277	3581	2203	3611
Olr1086	0	0	0	0	0	0	0	0	0	0	0	0
BC053393	0	0	0	0	0	0	0	0	0	0	0	0
NEWGENE_2324572	0	0	0	0	0	0	0	0	0	0	0	0
RGD1564324	0	0	0	0	0	0	0	0	0	0	0	0
Gpr21	1	5	1	1	4	5	0	8	3	5	3	1
Fbxo31	380	339	344	433	187	339	455	1390	357	362	262	416
Trappc2	474	482	383	463	268	408	505	1339	487	399	264	334
AABR07016578.1	0	0	0	1	0	0	0	3	0	0	0	0
AABR07018124.1	0	0	0	0	0	0	0	0	0	0	0	0
Zfp267	320	296	310	292	188	365	363	1013	354	355	220	274
Nsl1	76	37	53	31	71	152	169	707	158	140	92	146
Mucl3	0	0	0	0	0	1	0	0	2	2	2	0
Plcxd2	99	62	88	73	48	96	104	182	48	82	66	50
Kpna7	0	0	0	0	0	0	0	1	0	0	0	0
ENSRNOG00000042308	122	77	90	99	54	118	134	355	112	127	79	98
Kiaa0408L	252	152	160	107	119	231	288	689	373	246	136	242
Cd209f	0	0	1	1	3	1	0	6	0	3	3	0
Pglyrp2	3	10	5	11	6	15	14	60	8	39	6	19
AABR07065814.2	28	14	5	14	13	101	66	174	107	51	44	74
Slc41a1	571	594	521	574	367	766	910	2404	903	968	509	781
Smpdl3b	100	137	123	137	87	248	245	611	175	117	155	153
Mroh2b	0	0	0	3	2	2	0	4	0	4	1	0
AABR07044583.2	0	0	0	0	0	0	0	0	0	0	0	0
Ms4a18	17	35	18	40	11	41	50	108	27	34	14	20
Slc44a5	4	1	1	0	0	0	4	2	0	0	0	2
Dnal1	1061	1143	1003	1293	819	1225	1503	4516	1166	1348	788	996
AABR07029457.1	0	0	0	0	0	0	0	0	0	0	0	0
Thoc2l	485	377	351	374	260	446	635	2059	677	531	340	592
Zfp53	220	188	194	148	107	253	284	689	170	177	109	186
Dnase1l2	19	15	17	10	6	20	23	30	26	23	7	19
Mlkl	605	564	607	586	446	900	1107	2444	952	887	477	675
Tarbp2	411	351	315	372	219	437	594	1601	496	433	371	504
Pigk	1076	1273	1072	1031	830	1611	2020	5195	1767	1569	1074	1331
Treml4	34	23	57	24	7	54	91	117	12	38	21	22
Cyp2ab1	19	15	15	11	17	26	24	157	19	58	9	13
RGD1564614	1	0	1	0	0	2	1	7	0	0	2	0
AABR07044308.1	0	0	0	0	0	0	0	0	0	0	0	0
Ggta1l1	0	0	0	0	0	0	0	0	0	0	0	0
Tgif2	53	78	69	102	61	106	130	347	99	114	69	114
Kctd7	67	58	52	45	32	46	81	250	78	62	41	67
Slc25a6	0	4	0	2	3	0	4	3	2	0	0	0
Bcl10	1244	935	1084	971	612	1267	1565	3815	1552	1437	758	1102
Serpina9	0	0	0	0	0	1	1	0	0	0	0	1
4933403O08Rik	5	30	9	10	8	6	8	7	8	4	7	2
Olr381-ps	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc122	17	22	26	28	20	35	38	176	31	40	28	43
Obp2a	0	0	0	0	1	0	1	0	0	0	0	0
Rps6ka1	1015	1103	1123	1058	749	1491	1840	4496	1435	1395	931	1394
Acyp2	45	75	50	69	62	62	128	345	109	128	30	77
1110065P20Rik	258	211	235	199	165	301	434	937	436	359	211	305
Cyp4v3	2746	2578	3060	2822	1038	2582	2718	4238	3074	2057	1929	2270
Gskip	699	746	664	592	444	791	919	2387	835	774	452	718
Nek11	115	126	90	139	111	108	173	591	131	220	93	117
Tpd52l3	11	12	13	24	12	28	31	77	14	20	8	9
AC130970.1	165	154	169	213	77	92	130	543	65	116	52	143
Cdc42se2	2007	2259	2007	2113	1197	2710	3091	8740	3032	2509	1545	2209
Ddx59	198	222	180	203	137	394	364	1005	335	257	213	231
Tlr12	46	51	35	21	57	140	196	313	120	240	117	205
AABR07046707.1	808	846	843	874	587	832	1161	3204	1065	837	585	848
Hmga2	0	0	0	0	3	0	0	0	0	0	0	0
Fbxo25	382	440	439	446	315	534	849	1937	478	489	348	492
Zbtb32	5	28	13	18	11	11	19	87	7	26	11	11
Ttc4	546	606	534	556	403	678	857	2685	846	703	469	684
ENSRNOG00000042468	5	1	5	6	9	22	11	49	2	11	8	13
Eras	0	0	0	0	0	1	0	0	0	0	0	0
RGD1560324	0	0	0	0	1	1	0	0	0	0	0	0
Krtap17-1	29	18	11	9	13	1	1	62	14	6	1	5
AABR07033979.1	0	1	0	0	0	0	0	0	0	0	0	0
Clrn1	0	0	0	0	0	0	0	0	0	0	0	0
Adam22	4	2	10	3	3	12	4	32	5	26	6	4
Tatdn2	1372	1550	1379	1349	776	1448	1891	5044	1738	1504	913	1487
Cop1	1053	1253	1204	1264	778	1608	1901	5015	1570	1329	933	1372
RGD1307916	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4f5	175	171	170	195	110	258	325	774	236	250	106	243
Mymx	19	18	7	18	11	21	18	33	10	21	6	6
Tmem250	630	630	473	554	426	769	956	2539	879	722	482	715
Ndufv2	1797	1814	1464	1503	1086	1945	2357	6499	2342	1822	1115	1693
Zfp964	176	159	138	133	73	145	206	477	214	165	111	130
AABR07061871.2	0	0	0	0	0	0	0	0	0	0	0	0
Peak1	1482	1646	1526	1204	1573	1641	1767	5074	1754	2107	1200	1379
Pheta2	26	18	33	22	29	38	42	117	31	59	11	29
Milr1	62	51	37	56	59	129	272	883	107	122	73	256
Wfdc6a	15	41	19	7	9	36	29	87	35	37	24	18
Tmem190	0	0	1	0	0	0	0	2	2	0	0	0
ENSRNOG00000042530	0	0	0	0	0	0	0	0	0	0	0	0
Krtap13-1	0	0	0	0	0	0	0	0	0	0	0	0
Accsl	15	8	18	9	32	35	50	102	48	69	45	40
AABR07010907.1	0	0	0	0	0	0	0	0	0	0	0	0
Pde4d	717	520	456	418	399	513	730	1978	554	664	370	337
AABR07065217.2	0	0	0	0	0	0	0	0	0	0	0	0
AABR07001902.1	10	7	5	3	1	81	8	217	6	10	2	6
Olr118-ps	0	0	0	0	0	0	0	0	0	0	0	0
Tex55	1	0	0	0	0	0	0	6	4	0	0	0
Bmyc	83	89	100	128	57	73	117	351	116	68	57	101
Bag4	575	614	536	559	393	805	1010	2646	744	769	506	599
Cks1b	168	140	137	156	151	363	460	1340	356	386	171	376
AC115202.1	0	0	0	0	0	0	0	0	0	0	0	0
Tcp11l1	169	217	205	160	241	546	615	883	320	497	232	251
AABR07072078.2	2	3	1	5	0	2	1	1	0	1	1	0
Zfp963	34	41	20	41	19	52	59	172	65	56	25	48
Ptcra	2	1	1	3	0	1	6	18	5	0	2	2
AC114845.1	0	0	0	0	0	0	0	0	0	0	0	0
Rgs10	476	525	431	410	450	996	1089	2409	884	838	592	958
Fam205a	20	14	14	19	47	89	78	174	120	78	71	91
ENSRNOG00000042598	0	0	0	0	0	0	0	0	0	0	0	0
Zglp1	7	9	8	5	0	16	10	20	24	8	10	11
Ttc39b	257	163	246	143	209	339	304	1230	354	326	173	294
Fpr2	23	3	18	9	6	11	5	17	4	9	3	7
Rhof	186	215	207	182	99	288	279	643	214	258	137	207
Rnase12	2	0	2	1	0	2	0	8	4	0	0	2
Marveld1	5192	5427	4587	4457	3322	6149	8884	18046	8498	6271	4084	5462
Sh2d4b	9	7	1	1	6	3	6	21	13	11	3	11
Tmem273	43	27	33	18	44	136	98	224	103	101	57	121
Asb5	9	7	11	12	7	14	15	46	3	17	10	8
Serpina12	0	0	0	0	0	0	1	0	0	0	2	0
Cfc1	23	27	14	31	6	11	19	55	12	9	11	11
AC106947.1	0	0	0	0	0	0	0	0	0	0	0	0
A4gnt	1	1	0	0	0	2	0	0	4	0	1	0
Nxnl1	8	9	7	1	9	12	5	39	17	11	4	3
ENSRNOG00000042660	0	0	0	0	0	1	1	10	2	1	1	5
Msrb3	752	670	680	667	377	828	855	2425	997	862	376	743
Lcor	617	632	627	511	542	758	992	2734	675	762	564	453
Krtap14l	0	0	0	0	0	0	0	0	0	0	0	0
Trim34	857	844	841	870	512	1053	1193	3319	1134	1003	642	774
Otud6a	0	0	0	0	0	0	0	0	0	0	0	0
Zmat4	3	8	2	5	4	6	1	13	0	0	3	1
Armc7	257	215	177	193	144	262	309	842	307	240	178	227
AABR07027750.1	1	1	0	0	2	16	8	15	2	2	2	11
Akr1b1-ps1	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000042701	0	0	0	0	0	0	0	0	0	0	0	0
Nipa1	1380	1689	1416	1418	1094	1901	2860	6964	1906	1509	1190	1271
Zc2hc1b	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000042706	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc188	0	0	0	0	0	0	0	0	0	0	0	0
RGD1559459	2	5	0	2	0	0	3	7	2	8	4	0
RGD1562699	0	0	0	0	0	0	0	0	0	0	0	0
Ciart	13	9	8	5	10	24	97	85	15	14	22	27
Mrpl28	472	470	450	542	339	598	839	2224	720	682	376	589
Gimd1	0	0	0	0	0	0	0	0	0	0	0	0
RGD1560775	3	3	8	2	11	16	21	28	7	35	7	18
RGD1563159	7	7	10	6	2	11	22	33	13	17	4	7
Fbrs	1566	1440	1365	1488	824	1517	2006	5009	1837	1643	969	1562
Efhc1	368	333	279	403	302	455	444	1809	475	1159	317	346
Slc25a18	4	1	0	2	0	4	0	2	1	11	2	0
ENSRNOG00000042736	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl42	419	448	384	394	222	571	672	1384	534	473	274	441
Adgb	263	208	184	250	217	386	380	1260	343	636	296	281
Fam72a	32	48	36	25	25	60	55	199	70	58	33	43
RGD1562024	0	0	0	0	1	0	0	0	0	0	0	0
ENSRNOG00000042751	0	0	0	0	0	0	0	0	0	0	0	0
AABR07065010.1	0	0	0	1	0	0	0	3	0	0	0	0
Fgf13	9	18	14	12	7	11	18	38	8	13	9	8
Tmem243	1343	1341	980	960	755	1238	1742	4636	2004	1517	923	1185
Apol3	1222	1135	1000	787	683	1234	1257	3520	1880	1190	564	857
Zfp494	0	0	0	0	0	0	0	0	0	0	0	0
Lins1	108	177	140	145	85	122	197	501	158	169	78	112
Zfp78	297	219	271	252	175	376	373	977	352	325	175	236
RGD1565058	0	0	0	0	0	5	0	4	5	2	0	0
Ropn1l	77	67	53	64	75	94	103	381	86	239	52	57
RGD1561870	0	0	0	0	0	0	0	0	0	0	0	0
Sesn2	962	910	715	862	866	1303	2021	5587	1395	1424	936	1633
Vti1a	682	758	632	695	466	864	1071	2843	961	875	568	781
Fam229a	9	15	12	13	9	5	17	56	13	25	8	14
AC112018.1	0	0	0	0	0	0	0	0	0	0	0	0
Cd209c	0	0	0	0	0	0	1	0	5	0	5	0
RGD1559644	0	0	0	0	0	0	0	0	0	0	0	0
Henmt1	14	12	11	6	13	22	36	59	28	14	9	16
Pramef17	0	0	0	0	0	0	0	0	0	0	0	0
Cd59	14091	14606	13248	14323	11713	17517	24957	59329	21104	18768	12116	14884
Cd300le	588	609	572	494	605	998	1965	4141	1511	976	1585	871
Zfp52	187	168	146	166	106	207	241	666	277	212	123	208
Prp2l1	114	121	102	125	98	149	155	450	171	137	97	91
4930544D05Rik	0	2	1	0	0	0	1	0	1	2	1	1
Jam2	5021	4693	4504	4496	2215	3299	4625	11482	3466	3927	1513	2718
AABR07000158.1	0	0	0	0	0	0	0	1	0	0	0	0
Ahdc1	1061	921	775	763	645	700	1038	3209	1043	885	538	888
Pappa2	484	774	422	472	208	640	442	1033	583	280	215	400
